depth (m),gas age (a B1950),CH4 (ppbv)
2211.53,221124,469
2212.63,221355,489
2213.73,221625,508
2214.83,221918,538
2215.9,222226,477
2217.03,222529,484
2218.13,222840,491
2219.23,223169,488
2220.33,223509,501
2221.38,223857,495
2222.53,224271,504
2223.63,224553,528
2224.7,224869,519
2225.83,225257,543
2226.93,225619,489
2228,225952,464
2228.84,226198,504
2230.23,226598,476
2231.28,226879,496
2231.93,227039,516
2235.23,227743,556
2236.83,228027,532
2237.92,228291,547
2238.53,228480,547
2240.13,228952,503
2241.23,229327,504
2242.33,229764,491
2243.43,230138,517
2244.53,230499,490
2245.63,230848,471
2246.73,231092,473
2247.33,231222,464
2248.93,231472,474
2249.98,231851,506
2251.13,232273,456
2252.23,232681,417
2253.33,232972,429
2253.93,233129,431
2255.53,233489,429
2256.63,233729,433
2257.73,234003,440
2258.83,234315,434
2259.93,234601,419
2261.03,234871,429
2262.08,235113,457
2263.23,235355,430
2264.33,235603,426
2265.43,235871,433
2266.53,236127,453
2267.58,236348,519
2268.23,236466,462
2269.83,236781,478
2270.93,237020,499
2272,237267,508
2272.87,237419,481
2274.23,237675,512
2275.33,237909,518
2276.43,238126,529
2277,238237,554
2277.53,238360,543
2278.63,238614,545
2279.21,238726,548
2280.83,239046,539
2281.4,239165,565
2281.93,239275,557
2282.53,239395,554
2283.6,239609,566
2284.08,239702,550
2285.23,239922,549
2285.8,240030,588
2286.33,240131,549
2286.88,240235,559
2287.43,240347,565
2288,240464,579
2288.53,240573,564
2289.63,240790,566
2290.2,240902,577
2290.73,241001,562
2291.8,241201,594
2292.4,241284,597
2292.93,241355,592
2294.03,241525,601
2294.6,241625,606
2295.13,241718,599
2296.23,241906,609
2296.8,242003,616
2297.33,242081,616
2298.43,242241,611
2299,242321,627
2299.53,242396,623
2300.63,242545,641
2301.21,242619,661
2302.83,242838,648
2303.4,242916,667
2303.93,242962,653
2305.03,243058,673
2305.6,243129,696
2306.13,243196,680
2307.23,243337,594
2307.8,243412,523
2308.33,243482,539
2309.43,243632,521
2310,243710,515
2310.53,243790,519
2311.63,243958,525
2312.23,244042,542
2314.96,244492,538
2315.53,244577,558
2317.13,244829,546
2318.23,245025,541
2319.33,245292,528
2320.43,245573,528
2321.53,245866,523
2322.63,246141,519
2323.73,246423,502
2324.32,246579,503
2325.93,247042,494
2327.03,247390,475
2328.14,247761,486
2329.23,248187,513
2330.33,248605,508
2330.93,248825,545
2332.53,249266,525
2333.63,249539,525
2334.23,249699,540
2335.83,250159,473
2336.92,250532,466
2338.03,250964,408
2339.13,251406,410
2340.23,251869,413
2341.33,252356,408
2342.43,252760,432
2345.73,254062,401
2346.83,254533,395
2347.9,254986,396
2349.03,255390,401
2350.13,255777,398
2351.2,256149,426
2351.83,256336,427
2353.43,256851,420
2354.53,257275,405
2355.63,257670,442
2356.73,258089,422
2357.83,258534,448
2358.93,258890,475
2360.03,259262,466
2361.13,259652,483
2362.23,260208,465
2362.83,260512,450
2364.43,261237,493
2365.53,261707,510
2366.63,262188,496
2367.7,262667,430
2368.83,263118,473
2369.93,263531,451
2371.03,263918,434
2372.13,264282,456
2373.23,264615,452
2374.33,264917,424
2375.43,265299,443
2376.53,265636,480
2377.63,265921,482
2378.73,266207,509
2379.83,266474,462
2380.93,266722,414
2382.03,267094,417
2383.13,267465,398
2384.23,267833,415
2385.33,268218,412
2386.43,268621,422
2387.53,269042,417
2388.63,269478,384
2389.73,269877,425
2390.83,270236,414
2391.93,270649,418
2393.03,271045,454
2394.13,271423,423
2395.23,271840,454
2395.83,272067,439
2397.43,272665,460
2398.53,273049,441
2399.63,273471,458
2400.73,273935,453
2401.33,274163,445
2402.93,274767,470
2403.53,274990,451
2405.13,275576,483
2406.23,275976,467
2407.33,276374,463
2408.43,276742,475
2409.53,277117,455
2410.63,277503,479
2411.73,277851,504
2412.83,278245,467
2413.93,278689,452
2415.03,279061,480
2415.63,279262,466
2417.23,279771,428
2417.83,280005,438
2419.34,280575,420
2420.53,280985,463
2421.63,281266,455
