,age,irish_temperature,irish_rainfall,global_ch4,global_temp_x,global_temp_y,global_co2_x,sigma mean_x,global_co2_y,sigma mean_y
292,65.0,,,837.2389232,,,,,,
293,66.0,,,828.5405099999999,,,,,,
294,71.0,,,822.31633,,,,,,
295,75.0,,,822.1005936,,,,,,
296,76.0,,,816.9597392,,,,,,
297,79.0,,,811.8757699999999,,,,,,
298,79.90783835211096,,,802.11564,,,,,,
299,82.0,,,815.8052312,,,,,,
300,85.0,,,804.0995240000001,,,,,,
301,87.0,,,789.8903600000001,,,,,,
302,90.0,,,786.1594736000001,,,,,,
303,94.0,,,775.93615,,,,,,
304,95.0,,,786.3911592,,,,,,
305,96.71181334295943,,,775.3590399999999,,,,,,
306,98.0,,,785.5401266666665,,,,,,
307,100.0,,,806.511824,,,,,,
308,101.49764062357849,,,763.6648,,,,,,
309,103.0,,,768.9924416,,,,,,
310,103.0,,,770.4380864,,,,,,
311,105.0,,,777.970947,,,,,,
312,108.0,,,766.9010499999999,,,,,,
313,110.990645664172,,,764.96764,,,,,,
314,114.48937698680061,,,767.30696,,,,,,
315,115.0,,,750.5705096,,,,,,
316,116.0,,,756.2797879999999,,,,,,
317,122.11616505904635,,,755.8335999999999,,,,,,
318,122.84160440909454,,,751.5541999999999,,,,,,
319,128.96976773883853,,,738.74316,,,,,,
320,134.76681339376887,,,736.3737199999999,,,,,,
321,149.44171071136952,,,730.24932,,,,,,
322,149.6827405501233,,,728.4746,,,,,,
323,152.93127393378586,,,716.87338,,,,,,
324,154.58901321917142,,,717.8198000000001,,,,,,
325,165.05063508665557,,,722.9904,,,,,,
326,168.40539937183257,,,718.6430799999999,,,,,,
327,169.38414299338,,,714.37342,,,,,,
328,175.2646468833127,,,720.77156,,,,,,
329,185.5011689173275,,,706.09308,,,,,,
330,186.18557289233513,,,703.1236,,,,,,
331,194.417,,,907.0,,,,,,
332,196.77994667073676,,,696.8988,,,,,,
333,196.9837237997492,,,697.80004,,,,,,
334,199.76320230839178,,,692.8677399999999,,,,,,
335,206.2730269555948,,,706.4043200000001,,,,,,
336,214.90606512669342,,,703.24172,,,,,,
337,226.05966675173477,,,671.8690799999999,,,,,,
338,226.20516604636714,,,675.54136,,,,,,
339,254.93584130795193,,,676.116,,,,,,
340,259.4088752679195,,,684.62756,,,,,,
341,267.11230388108993,,,692.03944,,,,,,
342,282.3009558165836,,,681.19388,,,,,,
343,299.80589710628965,,,674.61,,,,,,
